Audio,duration,playTime,formatted,cpp_duration
fcd41cc461463d94b8af7e38df5fc05942dbd5c2,363.798,1954.2204375,32:34,77.409
1d1b83db941552df7af865f9b7aff0799a89c156,68.189,1780.610625,29:40,72.069
b977d4782064b9f50cf6cdc3fc435f8b61865544,91.593,1912.607375,31:52,75.958
75e6148d5adfea4465d74fa8a0ab29a31b010003,87.637,1811.9575625,30:11,68.703
b5b7900c9dfa2a149e911b1e6208028781be6aaf,102.274,2061.218,34:21,74.552
13210325eb2e9ab38a7786029b18b15dd4c3b7fe,75.052,1802.631875,30:2,68.009
457ee3b4839158c5992da8282ed377423ed4c166,59.742,1499.4808125,24:59,59.038
48f1fa6235977b975179de80c95432176cfe1094,488.384,2025.6391875,33:45,78.446
76bcde0d2d9e90d54efa4885c51630464d974120,72.396,1575.2620625,26:15,60.057
12abb83424c1764383583b7c3f983e2d388ffd8e,81.618,2025.5608125,33:45,78.336
5bbb2faadd799ffa2bb6915e2441be24268d3eb4,83.549,1838.34125,30:38,74.58
a35937ffef9e70b7ee2bd38ef66d6496fc0a4248,85.784,2172.7085625,36:12,84.234
927f7dccfef58328af556e1c322d45161b143592,67.092,1610.9714375,26:50,57.56
01e070d77bf6a4a832dda6cf10e497b621679843,72.337,1937.893875,32:17,73.805
151c38d9f098b2822d89a23095f0971c1b0818eb,68.584,1673.378,27:53,60.808
b998574e784a66e70ea45ed0c6c063e8fde9fe8a,64.874,1630.2759375,27:10,61.378
d8d8785fe8a8fcc135c44b55c6e10fdc111e150a,59.04,1535.138,25:35,57.667
f8807038568bebeda91fba112f1be0e8f7b34ad4,64.897,1715.0955,28:35,63.223
cc60de28d1d5573a6a048ada517128b99312f4b4,64.79,1564.8653125,26:4,61.665
db7c6f482591e2e83183691393db6e43334cb71a,66.708,1640.6988125,27:20,62.978
f4073b8cf496bf879afc50480e97c97b2c8a7233,61.73,1545.5608125,25:45,63.102
f1b2bc12b281164634f4f9bb4eb760f842613859,68.833,1572.3363125,26:12,68.519
e59a14cb88b5229edefdd1ac0f9333b6708ebe8f,73.018,1468.551875,24:28,56.281
7df15bed5b419028d44b9d5a3532287d8646cdb7,69.535,1559.066125,25:59,62.036
cc4ce85072c2e8437c4f2c5f56db3fa552ca2742,62.69,1544.071875,25:44,57.596
2b6d5d2af23138b859ee2e029b1b0180f41c4bdd,78.376,1714.9649375,28:34,63.993
89c12f2a2de8a3b0d2597f24c00e80dfa7e4d321,74.197,1438.589375,23:58,54.552
942890f7471dc445922fdfb03bd533f79be89967,66.263,1592.0588125,26:32,61.83
1133d74a3cbfd09ea177830668b8723bcd4c143c,83.137,1985.43675,33:5,77.399
17f1749abb0d695f5c969bb1d3bbb081444bc357,59.743,1578.24,26:18,63.992
b90afe19bfd5726da548aec78f0955a2a1b67c47,67.75,1630.2498125,27:10,61.957
eedfa0fd0bb676b173466a69e080f1d69dd5bba6,66.059,1648.0914375,27:28,65.947
79d3270988aeb77f5ddf142184be137153aaa61a,56.871,1596.081625,26:36,60.934
39286e492a94e738966eee0ae450a8404050909a,57.241,1668.8849375,27:48,60.469
49d3a740f17e95784c2ff53fae083c75339802f5,57.528,1670.373875,27:50,60.967
34d3fd0db5524963dda86145c5aee29dae479648,56.308,1649.5804375,27:29,64.526
